Rank,Year,Title,Genre,Year_Rank,Note,,,,,,,,,,,,,,,,,,,,
186,2019,How to Win Friends & Influence People,Business&SelfHelp,2019_86,,,,,,,,,,,,,,,,,,,,,
187,2019,Magnolia Table: A Collection of Recipes for…,"Cookbooks,Food&Wine",2019_87,,,,,,,,,,,,,,,,,,,,,
188,2019,The Obesity Code: Unlocking the Secrets of…,HealthFitness&Dieting,2019_88,,,,,,,,,,,,,,,,,,,,,
189,2019,"Magic Tree House Boxed Set, Books 1-4:…",Children'sBooks,2019_89,,,,,,,,,,,,,,,,,,,,,
190,2019,Then She Was Gone,Literature&Fiction,2019_90,,,,,,,,,,,,,,,,,,,,,
191,2019,The Pioneers: The Heroic Story of the Settlers…,History,2019_91,,,,,,,,,,,,,,,,,,,,,
192,2019,Wacky Waving Inflatable Tube Guy (RP Minis),N/A,2019_92,NonBook,,,,,,,,,,,,,,,,,,,,
193,2019,Medical Medium Liver Rescue: Answers to…,HealthFitness&Dieting,2019_93,,,,,,,,,,,,,,,,,,,,,
194,2019,The Care and Keeping of You: The Body Book for…,Children'sBooks,2019_94,,,,,,,,,,,,,,,,,,,,,
195,2019,There's No Place Like Space: All About Our Solar…,Children'sBooks,2019_95,,,,,,,,,,,,,,,,,,,,,
196,2019,How to Draw 101 Animals,Children'sBooks,2019_96,,,,,,,,,,,,,,,,,,,,,
197,2019,Unicorn Activity Book for Kids Ages 4-8: A Fun…,Children'sBooks,2019_97,,,,,,,,,,,,,,,,,,,,,
198,2019,Simply Keto: A Practical Approach to Health &…,"Cookbooks,Food&Wine",2019_98,,,,,,,,,,,,,,,,,,,,,
199,2019,The Outsiders,Teen&Youngadult,2019_99,,,,,,,,,,,,,,,,,,,,,
200,2019,The Try Not to Laugh Challenge - Would Your…,Children'sBooks,2019_100,,,,,,,,,,,,,,,,,,,,,
201,2018,Becoming,Biographies&Memoirs,2018_01,,,,,,,,,,,,,,,,,,,,,
202,2018,"Girl, Wash Your Face: Stop Believing the Lies…",Business&SelfHelp,2018_02,,,,,,,,,,,,,,,,,,,,,
203,2018,The Wonky Donkey,Children'sBooks,2018_03,,,,,,,,,,,,,,,,,,,,,
204,2018,Fire and Fury: Inside the Trump White House,Politics&SocialSciences,2018_04,,,,,,,,,,,,,,,,,,,,,
205,2018,Fear: Trump in the White House,Politics&SocialSciences,2018_05,,,,,,,,,,,,,,,,,,,,,
206,2018,Last Week Tonight with John Oliver Presents A…,Children'sBooks,2018_06,,,,,,,,,,,,,,,,,,,,,
207,2018,12 Rules for Life: An Antidote to Chaos,Politics&SocialSciences,2018_07,,,,,,,,,,,,,,,,,,,,,
208,2018,Magnolia Table: A Collection of Recipes for…,"Cookbooks,Food&Wine",2018_08,,,,,,,,,,,,,,,,,,,,,
209,2018,Whose Boat Is This Boat?: Comments That Don't…,Politics&SocialSciences,2018_09,,,,,,,,,,,,,,,,,,,,,
210,2018,The Subtle Art of Not Giving a F*ck: A…,Business&SelfHelp,2018_10,,,,,,,,,,,,,,,,,,,,,
211,2018,"A Higher Loyalty: Truth, Lies, and Leadership",Biographies&Memoirs,2018_11,,,,,,,,,,,,,,,,,,,,,
212,2018,The Complete Ketogenic Diet for Beginners: Your…,"Cookbooks,Food&Wine",2018_12,,,,,,,,,,,,,,,,,,,,,
213,2018,The Meltdown (Diary of a Wimpy Kid Book 13),Children'sBooks,2018_13,,,,,,,,,,,,,,,,,,,,,
214,2018,The 5 Love Languages: The Secret to Love that…,Religion&Spirituality,2018_14,,,,,,,,,,,,,,,,,,,,,
215,2018,First 100 Words,Children'sBooks,2018_15,,,,,,,,,,,,,,,,,,,,,
216,2018,Dog Man: Lord of the Fleas: From the Creator of…,Children'sBooks,2018_16,,,,,,,,,,,,,,,,,,,,,
217,2018,Educated: A Memoir,Biographies&Memoirs,2018_17,,,,,,,,,,,,,,,,,,,,,
218,2018,You Are a Badass: How to Stop Doubting Your…,Business&SelfHelp,2018_18,,,,,,,,,,,,,,,,,,,,,
219,2018,The Plant Paradox: The Hidden Dangers in…,HealthFitness&Dieting,2018_19,,,,,,,,,,,,,,,,,,,,,
220,2018,Giraffes Can't Dance,Children'sBooks,2018_20,,,,,,,,,,,,,,,,,,,,,
221,2018,Player's Handbook (Dungeons & Dragons),Literature&Fiction,2018_21,,,,,,,,,,,,,,,,,,,,,
222,2018,Homebody: A Guide to Creating Spaces You…,CraftsHobbies&Home,2018_22,,,,,,,,,,,,,,,,,,,,,
223,2018,The Very Hungry Caterpillar,Children'sBooks,2018_23,,,,,,,,,,,,,,,,,,,,,
224,2018,Crazy Rich Asians (Crazy Rich Asians Trilogy),Literature&Fiction,2018_24,,,,,,,,,,,,,,,,,,,,,
225,2018,The Hate U Give,Teen&Youngadult,2018_25,,,,,,,,,,,,,,,,,,,,,
226,2018,The Instant Pot Electric Pressure Cooker…,"Cookbooks,Food&Wine",2018_26,,,,,,,,,,,,,,,,,,,,,
227,2018,The Four Agreements: A Practical Guide to…,Religion&Spirituality,2018_27,,,,,,,,,,,,,,,,,,,,,
228,2018,The Wonderful Things You Will Be,Children'sBooks,2018_28,,,,,,,,,,,,,,,,,,,,,
229,2018,P is for Potty! (Sesame Street) (Lift-the-Flap),Children'sBooks,2018_29,,,,,,,,,,,,,,,,,,,,,
230,2018,The Pout-Pout Fish,Children'sBooks,2018_30,,,,,,,,,,,,,,,,,,,,,
231,2018,Lettering and Modern Calligraphy: A Beginner's…,Business&SelfHelp,2018_31,,,,,,,,,,,,,,,,,,,,,
232,2018,Publication Manual of the American…,Reference,2018_32,,,,,,,,,,,,,,,,,,,,,
233,2018,Dear Zoo: A Lift-the-Flap Book,Children'sBooks,2018_33,,,,,,,,,,,,,,,,,,,,,
