BestsellerFic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2017,Literature&Fiction,6,Origin,Dan Brown,2020,Doubleday,456,9.99,0,0,1,0,0,62957203.3,,1
2017,Literature&Fiction,6,A Man Called Ove,Fredrik Backman,2020,Washington Square Press,368,16,0,1,2,0,1,29282,,1
2017,Literature&Fiction,6,The Shack: Where Tragedy Confronts Eternity,William P. Young,2007,Windblown Media,256,15,0,0,3(9-10-11),1,1,23474000,,0
2017,Literature&Fiction,6,A Gentleman in Moscow,Amor Towles,2019,Penguin Books,496,17,0,1,1,0,0,4304.5,,1
2017,Literature&Fiction,6,Thirteen Reasons Why,Jay Asher,2011,Razorbill,288,10.99,0,1,1,0,0,5650000,,1
2017,Teen&Youngadult,6,Harry Potter and the Prisoner of Azkaban: The・,J.K. Rowling,2001,Scholastic Paperbacks ,448,10.99,1,0,1,0,0,487984.5,,1
2017,Literature&Fiction,6,Milk and Vine: Inspirational Quotes From Classic・,Adam Gasiewski,2017,Independently published ,77,7.99,0,1,1,0,0,1210,,0
2017,Literature&Fiction,6,Big Little Lies,Liane Moriarty,2017,Berkley,254,16,1,1,1,0,0,10403.8946,,1
2017,Literature&Fiction,6,The Rooster Bar,John Grisham,2017,Dell ,376,9.99,0,0,1,0,0,6.50E+04,,1
2017,Literature&Fiction,6,Camino Island,John Grisham,2017,Dell,370,9.99,0,0,1,0,0,1.91E+05,,1
2017,Teen&Youngadult,6,Turtles All the Way Down,John Green,2019,Penguin Books,320,14.99,0,0,1,0,0,410300000,,1
2017,Teen&Youngadult,6,Everything Everything,Nicola Yoon,2017,Ember,352,10.99,1,1,1,0,0,42471,,1
2017,Literature&Fiction,6,Norse Mythology,Neil Gaiman,2016,W. W. Norton & Company,253,15.95,0,0,1,0,0,387000,,0
2017,Literature&Fiction,6,Lilac Girls,Martha Hall Kelly,2017,Ballantine Books,544,17,1,1,1,0,0,181500,,1
2017,Teen&Youngadult,6,Harry Potter and the Sorcerer's Stone: The・,J.K. Rowling,2020,Scholastic Inc.,368,8.99,1,0,2,0,1,698739.7,,1
2017,Literature&Fiction,6,Al Franken Giant of the Senate,Al Franken,2017,Twelve,416,26,0,0,1,0,0,179080,,1
2016,Teen&Youngadult,6,Harry Potter and the Cursed Child Parts 1 & 2・,J.K. Rowling,2017,Arthur A. Levine Books ,336,8.99,1,0,1,0,0,13709300,,1
2016,Literature&Fiction,6,Hamilton: The Revolution,Lin-Manuel Miranda,2016,Grand Central Publishing,288,45,0,1,1,0,0,80132,,0
